tournament,city,country,date,tournament_type,discipline,round,winner,nb_sets,retired,game_1_score,game_2_score,game_3_score,team_one_players,team_two_players,team_one_nationalities,team_two_nationalities,team_one_total_points,team_two_total_points,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Qualification round of 16,2,2,False,None,None,None,Aaron Zhao,Guoxing Huang,CAN,CAN,26,42,4,5,0,5,4,5,0,3,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '4-6', '5-6', '5-7', '6-7', '6-8', '6-9', '6-10', '7-10', '8-10', '8-11', '8-12', '9-12', '9-13', '9-14', '9-15', '9-16', '9-17', '10-17', '11-17', '12-17', '13-17', '13-18', '14-18', '14-19', '14-20', '15-20', '16-20', '16-21']",2.0,4.0,0.0,2.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '5-6', '5-7', '5-8', '5-9', '6-9', '6-10', '6-11', '7-11', '7-12', '7-13', '7-14', '7-15', '8-15', '8-16', '8-17', '9-17', '9-18', '9-19', '9-20', '10-20', '10-21']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Qualification round of 16,1,2,False,None,None,None,Minoru Koga,Kevin Lee,JPN,CAN,42,20,9,3,2,0,9,3,1,0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '3-3', '3-4', '4-4', '5-4', '6-4', '7-4', '8-4', '9-4', '10-4', '11-4', '12-4', '12-5', '13-5', '14-5', '15-5', '15-6', '15-7', '16-7', '16-8', '17-8', '18-8', '19-8', '19-9', '20-9', '21-9']",8.0,3.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '5-2', '6-2', '7-2', '8-2', '9-2', '10-2', '11-2', '12-2', '13-2', '13-3', '13-4', '13-5', '14-5', '15-5', '16-5', '16-6', '17-6', '17-7', '17-8', '17-9', '18-9', '18-10', '18-11', '19-11', '20-11', '21-11']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Qualification round of 16,1,2,False,None,None,None,Kok Hong Woon,Andrew Zhuang,MAS,CAN,42,25,5,3,3,0,4,3,2,0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '3-3', '4-3', '5-3', '5-4', '6-4', '7-4', '7-5', '7-6', '8-6', '9-6', '10-6', '11-6', '11-7', '11-8', '11-9', '12-9', '13-9', '13-10', '14-10', '15-10', '15-11', '16-11', '16-12', '16-13', '17-13', '18-13', '19-13', '20-13', '20-14', '21-14']",5.0,2.0,1.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '6-5', '6-6', '6-7', '7-7', '8-7', '9-7', '10-7', '11-7', '11-8', '12-8', '13-8', '14-8', '14-9', '15-9', '15-10', '16-10', '17-10', '18-10', '19-10', '19-11', '20-11', '21-11']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Qualification round of 16,1,2,False,None,None,None,Imran Wadia,Enrico Asuncion,CAN,USA,42,25,11,4,2,0,11,4,1,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '4-4', '5-4', '6-4', '6-5', '7-5', '8-5', '8-6', '8-7', '8-8', '8-9', '9-9', '10-9', '11-9', '12-9', '13-9', '14-9', '15-9', '16-9', '17-9', '18-9', '19-9', '19-10', '20-10', '21-10']",5.0,3.0,1.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '5-3', '6-3', '6-4', '7-4', '8-4', '9-4', '10-4', '11-4', '11-5', '12-5', '12-6', '13-6', '13-7', '13-8', '14-8', '15-8', '16-8', '16-9', '17-9', '18-9', '18-10', '18-11', '18-12', '19-12', '19-13', '19-14', '19-15', '20-15', '21-15']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,2,2,False,None,None,None,Timothy Chiu,Junpeng Zhao,CAN,CHN,32,42,4,6,0,5,4,5,0,1,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '2-7', '2-8', '3-8', '3-9', '4-9', '5-9', '6-9', '7-9', '7-10', '7-11', '8-11', '9-11', '9-12', '10-12', '10-13', '10-14', '10-15', '10-16', '11-16', '11-17', '11-18', '12-18', '13-18', '13-19', '13-20', '13-21']",3.0,6.0,0.0,4.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '3-5', '3-6', '3-7', '3-8', '3-9', '3-10', '3-11', '4-11', '4-12', '5-12', '6-12', '6-13', '7-13', '7-14', '8-14', '9-14', '9-15', '9-16', '10-16', '11-16', '11-17', '12-17', '13-17', '14-17', '14-18', '14-19', '15-19', '16-19', '16-20', '17-20', '18-20', '19-20', '19-21']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,2,2,False,None,None,None,Kevin Cordon,Kai Schaefer,GUA,GER,24,42,5,11,0,4,3,11,0,1,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '3-3', '3-4', '3-5', '3-6', '3-7', '3-8', '3-9', '3-10', '3-11', '4-11', '5-11', '6-11', '6-12', '7-12', '7-13', '7-14', '7-15', '8-15', '8-16', '8-17', '9-17', '9-18', '9-19', '9-20', '9-21']",5.0,8.0,0.0,3.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '3-3', '4-3', '5-3', '5-4', '6-4', '6-5', '6-6', '6-7', '6-8', '6-9', '6-10', '6-11', '7-11', '8-11', '9-11', '10-11', '11-11', '11-12', '12-12', '13-12', '13-13', '13-14', '13-15', '13-16', '13-17', '13-18', '13-19', '13-20', '14-20', '15-20', '15-21']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,2,2,False,None,None,None,Kartikey Gulshan Kumar,Riichi Takeshita,IND,JPN,21,42,2,11,0,3,2,4,0,2,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '6-5', '6-6', '6-7', '6-8', '7-8', '7-9', '8-9', '9-9', '9-10', '9-11', '10-11', '10-12', '11-12', '12-12', '12-13', '13-13', '14-13', '14-14', '15-14', '15-15', '15-16', '15-17', '15-18', '16-18', '16-19', '16-20', '17-20', '17-21']",1.0,10.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '0-7', '0-8', '0-9', '0-10', '1-10', '1-11', '1-12', '1-13', '1-14', '2-14', '2-15', '3-15', '3-16', '3-17', '3-18', '3-19', '4-19', '4-20', '4-21']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,2,2,False,None,None,None,Kartikay Tyagi,Minoru Koga,CAN,JPN,18,42,3,8,0,2,3,7,0,1,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '6-5', '7-5', '8-5', '8-6', '8-7', '8-8', '8-9', '9-9', '9-10', '9-11', '10-11', '11-11', '11-12', '11-13', '11-14', '11-15', '11-16', '11-17', '11-18', '12-18', '12-19', '12-20', '12-21']",1.0,8.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '2-5', '2-6', '3-6', '3-7', '3-8', '3-9', '3-10', '4-10', '4-11', '4-12', '5-12', '5-13', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '6-19', '6-20', '6-21']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,1,2,False,None,None,None,Kim Bruun,Joshua Hurlburt-Yu,DEN,CAN,42,30,4,6,2,0,4,6,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '5-2', '6-2', '6-3', '7-3', '8-3', '8-4', '9-4', '10-4', '11-4', '11-5', '12-5', '12-6', '13-6', '13-7', '13-8', '13-9', '13-10', '13-11', '13-12', '14-12', '14-13', '15-13', '16-13', '16-14', '16-15', '17-15', '18-15', '19-15', '19-16', '20-16', '21-16']",4.0,3.0,1.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '5-3', '5-4', '6-4', '7-4', '8-4', '8-5', '8-6', '8-7', '9-7', '10-7', '11-7', '12-7', '12-8', '12-9', '13-9', '13-10', '14-10', '14-11', '15-11', '16-11', '17-11', '17-12', '18-12', '18-13', '19-13', '19-14', '20-14', '21-14']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,2,2,False,None,None,None,Nicholas Bonkowsky,Niluka Karunaratne,TTO,SRI,13,42,3,14,0,3,1,14,0,2,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '2-5', '3-5', '3-6', '4-6', '4-7', '4-8', '4-9', '4-10', '4-11', '4-12', '4-13', '4-14', '4-15', '4-16', '4-17', '4-18', '4-19', '4-20', '5-20', '5-21']",3.0,7.0,0.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '4-7', '4-8', '4-9', '4-10', '5-10', '5-11', '5-12', '5-13', '5-14', '6-14', '7-14', '8-14', '8-15', '8-16', '8-17', '8-18', '8-19', '8-20', '8-21']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,1,3,False,None,None,None,Cao Cuong Pham,Timothy Lam,VIE,USA,59,53,5,4,4,1,5,4,2,0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '2-4', '3-4', '4-4', '5-4', '5-5', '5-6', '6-6', '7-6', '7-7', '8-7', '9-7', '9-8', '10-8', '10-9', '11-9', '12-9', '12-10', '13-10', '14-10', '14-11', '15-11', '16-11', '17-11', '18-11', '19-11', '19-12', '20-12', '20-13', '21-13']",5.0,4.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '2-4', '3-4', '4-4', '4-5', '5-5', '5-6', '5-7', '6-7', '6-8', '6-9', '7-9', '8-9', '8-10', '9-10', '10-10', '10-11', '10-12', '11-12', '11-13', '11-14', '11-15', '12-15', '12-16', '12-17', '13-17', '14-17', '15-17', '16-17', '17-17', '17-18', '17-19', '17-20', '17-21']",4.0,2.0,2.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '4-3', '4-4', '4-5', '5-5', '5-6', '6-6', '6-7', '7-7', '8-7', '8-8', '9-8', '9-9', '9-10', '10-10', '10-11', '11-11', '11-12', '11-13', '12-13', '13-13', '14-13', '15-13', '15-14', '16-14', '17-14', '17-15', '17-16', '18-16', '18-17', '18-18', '19-18', '20-18', '20-19', '21-19']"
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,1,2,False,None,None,None,Max Weisskirchen,Chao Yu Kan,GER,TPE,42,33,5,4,4,0,4,3,3,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '3-3', '4-3', '5-3', '6-3', '6-4', '7-4', '8-4', '8-5', '8-6', '8-7', '9-7', '10-7', '11-7', '12-7', '12-8', '13-8', '14-8', '15-8', '15-9', '16-9', '16-10', '16-11', '17-11', '18-11', '19-11', '19-12', '20-12', '20-13', '20-14', '21-14']",5.0,4.0,1.0,0.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '3-4', '4-4', '4-5', '5-5', '6-5', '7-5', '7-6', '7-7', '8-7', '8-8', '9-8', '9-9', '10-9', '10-10', '10-11', '11-11', '12-11', '13-11', '14-11', '15-11', '15-12', '16-12', '17-12', '17-13', '18-13', '18-14', '18-15', '18-16', '18-17', '19-17', '19-18', '19-19', '20-19', '21-19']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,2,2,False,None,None,None,Kevin Barkman,Kwang Hee Heo,CAN,KOR,25,42,4,6,0,2,4,6,0,1,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '4-4', '5-4', '5-5', '6-5', '6-6', '6-7', '7-7', '7-8', '7-9', '7-10', '7-11', '7-12', '7-13', '8-13', '8-14', '8-15', '9-15', '10-15', '11-15', '12-15', '12-16', '13-16', '13-17', '14-17', '14-18', '15-18', '15-19', '15-20', '15-21']",2.0,4.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '2-5', '2-6', '2-7', '2-8', '2-9', '3-9', '3-10', '3-11', '4-11', '4-12', '4-13', '4-14', '4-15', '5-15', '5-16', '6-16', '7-16', '7-17', '7-18', '8-18', '8-19', '9-19', '10-19', '10-20', '10-21']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,2,2,False,None,None,None,Subhankar Dey,Thomas Rouxel,IND,FRA,28,42,3,4,0,2,3,4,0,1,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '2-5', '3-5', '3-6', '3-7', '4-7', '4-8', '5-8', '5-9', '5-10', '6-10', '6-11', '6-12', '7-12', '8-12', '9-12', '9-13', '10-13', '11-13', '12-13', '12-14', '12-15', '13-15', '13-16', '14-16', '15-16', '15-17', '16-17', '16-18', '16-19', '16-20', '16-21']",2.0,4.0,0.0,1.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '3-3', '4-3', '4-4', '4-5', '4-6', '4-7', '5-7', '5-8', '5-9', '6-9', '6-10', '6-11', '6-12', '6-13', '7-13', '7-14', '8-14', '8-15', '9-15', '10-15', '10-16', '10-17', '10-18', '11-18', '11-19', '12-19', '12-20', '12-21']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,1,2,False,None,None,None,Kodai Naraoka,Antonio Li,JPN,CAN,42,18,7,3,4,0,7,3,2,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '4-3', '5-3', '5-4', '6-4', '6-5', '7-5', '7-6', '8-6', '8-7', '9-7', '10-7', '10-8', '10-9', '10-10', '11-10', '12-10', '13-10', '14-10', '15-10', '16-10', '17-10', '17-11', '18-11', '19-11', '20-11', '20-12', '21-12']",6.0,1.0,2.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '8-1', '8-2', '9-2', '10-2', '10-3', '11-3', '12-3', '13-3', '14-3', '15-3', '16-3', '16-4', '17-4', '18-4', '18-5', '19-5', '20-5', '20-6', '21-6']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,2,3,False,None,None,None,Xiaodong Sheng,Takuma Obayashi,CAN,JPN,57,64,4,7,1,5,2,4,0,1,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '5-5', '5-6', '6-6', '7-6', '7-7', '7-8', '7-9', '8-9', '8-10', '8-11', '9-11', '9-12', '9-13', '10-13', '11-13', '11-14', '12-14', '12-15', '12-16', '12-17', '12-18', '13-18', '14-18', '14-19', '14-20', '14-21']",4.0,7.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '5-3', '5-4', '6-4', '7-4', '8-4', '8-5', '8-6', '8-7', '9-7', '9-8', '10-8', '10-9', '11-9', '12-9', '12-10', '13-10', '13-11', '14-11', '15-11', '16-11', '17-11', '17-12', '17-13', '17-14', '17-15', '17-16', '17-17', '17-18', '18-18', '18-19', '19-19', '20-19', '21-19']",4.0,7.0,0.0,4.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '2-8', '3-8', '3-9', '3-10', '4-10', '4-11', '5-11', '5-12', '6-12', '7-12', '8-12', '9-12', '9-13', '9-14', '10-14', '10-15', '10-16', '11-16', '12-16', '13-16', '13-17', '14-17', '15-17', '15-18', '16-18', '17-18', '17-19', '18-19', '19-19', '19-20', '20-20', '20-21', '21-21', '21-22', '22-22', '22-23', '22-24']"
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,1,2,False,None,None,None,Young Woong Ha,Kalle Koljonen,KOR,FIN,42,28,7,3,2,0,7,2,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '3-3', '4-3', '5-3', '5-4', '5-5', '6-5', '6-6', '7-6', '7-7', '7-8', '8-8', '8-9', '9-9', '10-9', '11-9', '11-10', '12-10', '13-10', '14-10', '14-11', '15-11', '16-11', '17-11', '18-11', '19-11', '20-11', '21-11']",4.0,3.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '4-3', '5-3', '5-4', '5-5', '5-6', '6-6', '6-7', '6-8', '7-8', '7-9', '8-9', '9-9', '10-9', '11-9', '11-10', '12-10', '12-11', '13-11', '13-12', '13-13', '13-14', '14-14', '15-14', '15-15', '16-15', '17-15', '18-15', '19-15', '19-16', '19-17', '20-17', '21-17']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,2,2,False,None,None,None,Alexander Roovers,Guangzu Lu,GER,CHN,16,42,2,8,0,2,2,4,0,1,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '2-4', '2-5', '3-5', '4-5', '4-6', '4-7', '4-8', '4-9', '5-9', '5-10', '6-10', '6-11', '6-12', '6-13', '6-14', '7-14', '7-15', '7-16', '7-17', '8-17', '9-17', '9-18', '9-19', '9-20', '9-21']",2.0,6.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '1-5', '1-6', '1-7', '2-7', '2-8', '2-9', '3-9', '3-10', '3-11', '3-12', '3-13', '4-13', '5-13', '5-14', '5-15', '6-15', '7-15', '7-16', '7-17', '7-18', '7-19', '7-20', '7-21']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 64,1,2,False,None,None,None,Hashiru Shimono,Mathieu Morneau,JPN,CAN,42,22,5,3,2,0,4,2,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '3-3', '4-3', '4-4', '4-5', '5-5', '6-5', '7-5', '8-5', '8-6', '8-7', '9-7', '9-8', '10-8', '11-8', '12-8', '12-9', '13-9', '13-10', '14-10', '14-11', '15-11', '16-11', '17-11', '18-11', '18-12', '19-12', '20-12', '21-12']",5.0,3.0,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '3-4', '4-4', '4-5', '5-5', '6-5', '7-5', '8-5', '8-6', '9-6', '10-6', '11-6', '12-6', '13-6', '13-7', '14-7', '14-8', '15-8', '16-8', '17-8', '18-8', '18-9', '18-10', '19-10', '20-10', '21-10']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 32,1,2,False,None,None,None,Guangzu Lu,Yun Kyu Lee,CHN,KOR,42,34,5,4,6,0,5,3,4,0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '3-3', '4-3', '5-3', '5-4', '6-4', '7-4', '8-4', '8-5', '9-5', '9-6', '9-7', '10-7', '10-8', '10-9', '11-9', '12-9', '13-9', '14-9', '15-9', '15-10', '15-11', '16-11', '16-12', '16-13', '17-13', '17-14', '17-15', '18-15', '18-16', '19-16', '20-16', '20-17', '20-18', '20-19', '21-19']",5.0,4.0,2.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '4-4', '4-5', '5-5', '6-5', '7-5', '8-5', '9-5', '9-6', '10-6', '10-7', '11-7', '11-8', '12-8', '12-9', '13-9', '14-9', '14-10', '15-10', '15-11', '16-11', '17-11', '17-12', '18-12', '18-13', '18-14', '19-14', '20-14', '20-15', '21-15']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 32,2,3,False,None,None,None,Hashiru Shimono,Mark Caljouw,JPN,NED,56,57,9,7,2,8,9,5,2,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '4-6', '5-6', '5-7', '6-7', '7-7', '8-7', '9-7', '10-7', '11-7', '12-7', '13-7', '14-7', '14-8', '14-9', '14-10', '14-11', '14-12', '15-12', '16-12', '17-12', '17-13', '18-13', '18-14', '19-14', '20-14', '20-15', '21-15']",4.0,6.0,0.0,4.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '2-4', '3-4', '3-5', '4-5', '4-6', '5-6', '6-6', '7-6', '7-7', '7-8', '7-9', '7-10', '7-11', '7-12', '8-12', '8-13', '8-14', '9-14', '9-15', '9-16', '10-16', '10-17', '10-18', '11-18', '11-19', '12-19', '13-19', '14-19', '15-19', '15-20', '16-20', '17-20', '18-20', '18-21']",5.0,7.0,0.0,4.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '6-2', '7-2', '7-3', '7-4', '7-5', '7-6', '7-7', '7-8', '7-9', '8-9', '8-10', '9-10', '10-10', '10-11', '11-11', '11-12', '11-13', '11-14', '12-14', '12-15', '12-16', '12-17', '12-18', '12-19', '13-19', '14-19', '14-20', '15-20', '16-20', '17-20', '17-21']"
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 32,0,2,True,None,None,None,Hoang Nam Nguyen,Junpeng Zhao,VIE,CHN,21,34,5,7,0,1,5,7,0,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '8-5', '8-6', '8-7', '8-8', '9-8', '9-9', '10-9', '10-10', '10-11', '10-12', '10-13', '10-14', '10-15', '10-16', '11-16', '11-17', '12-17', '12-18', '13-18', '14-18', '14-19', '14-20', '14-21']",2.0,5.0,0.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '3-7', '4-7', '4-8', '4-9', '4-10', '5-10', '6-10', '6-11', '6-12', '7-12', '7-13']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 32,1,2,False,None,None,None,Sitthikom Thammasin,Kai Schaefer,THA,GER,42,25,7,4,2,0,7,3,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '4-6', '5-6', '6-6', '7-6', '8-6', '9-6', '9-7', '9-8', '9-9', '10-9', '10-10', '11-10', '12-10', '13-10', '14-10', '15-10', '15-11', '16-11', '17-11', '18-11', '18-12', '18-13', '19-13', '20-13', '21-13']",4.0,4.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '11-4', '11-5', '11-6', '11-7', '11-8', '12-8', '12-9', '13-9', '13-10', '14-10', '15-10', '16-10', '17-10', '17-11', '17-12', '18-12', '19-12', '20-12', '21-12']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 32,1,2,False,None,None,None,Max Weisskirchen,Jacob Nilsson,GER,SWE,43,36,5,4,4,0,5,3,1,0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '3-3', '4-3', '5-3', '5-4', '6-4', '7-4', '7-5', '7-6', '8-6', '8-7', '9-7', '9-8', '10-8', '11-8', '11-9', '12-9', '13-9', '13-10', '13-11', '14-11', '15-11', '16-11', '16-12', '16-13', '17-13', '17-14', '17-15', '17-16', '18-16', '19-16', '20-16', '21-16']",4.0,4.0,3.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '3-5', '3-6', '4-6', '5-6', '5-7', '5-8', '6-8', '7-8', '8-8', '8-9', '8-10', '9-10', '10-10', '11-10', '12-10', '12-11', '13-11', '13-12', '13-13', '14-13', '14-14', '15-14', '16-14', '16-15', '16-16', '16-17', '17-17', '18-17', '19-17', '19-18', '20-18', '20-19', '20-20', '21-20', '22-20']",None,None,None,None,[]
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 32,1,3,False,None,None,None,Tien Minh Nguyen,Riichi Takeshita,VIE,JPN,60,50,6,5,5,1,6,3,3,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '3-3', '4-3', '4-4', '5-4', '6-4', '6-5', '6-6', '6-7', '7-7', '8-7', '9-7', '10-7', '11-7', '12-7', '12-8', '12-9', '13-9', '14-9', '15-9', '16-9', '17-9', '18-9', '18-10', '19-10', '20-10', '20-11', '20-12', '21-12']",2.0,5.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '5-3', '5-4', '5-5', '5-6', '6-6', '6-7', '6-8', '7-8', '8-8', '8-9', '9-9', '9-10', '10-10', '11-10', '11-11', '12-11', '12-12', '13-12', '14-12', '14-13', '14-14', '14-15', '14-16', '14-17', '15-17', '15-18', '16-18', '17-18', '17-19', '18-19', '18-20', '18-21']",5.0,4.0,2.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '4-2', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '10-3', '11-3', '11-4', '12-4', '12-5', '12-6', '12-7', '13-7', '13-8', '14-8', '14-9', '15-9', '16-9', '17-9', '18-9', '18-10', '18-11', '18-12', '19-12', '19-13', '19-14', '19-15', '19-16', '20-16', '20-17', '21-17']"
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 32,0,1,True,None,None,None,Milan Ludik,Minoru Koga,CZE,JPN,0,3,0,3,0,0,0,3,0,0,"['0-0', '0-1', '0-2', '0-3']",None,None,None,None,nan,None,None,None,None,nan
2018 YONEX Canada Open,Calgary,Canada,None,BWF Tour Super 100,MS,Round of 32,1,2,False,None,None,None,Takuma Obayashi,Imran Wadia,JPN,CAN,42,26,5,2,3,0,5,2,2,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '9-4', '10-4', '10-5', '11-5', '11-6', '11-7', '12-7', '13-7', '14-7', '15-7', '16-7', '16-8', '16-9', '17-9', '17-10', '18-10', '19-10', '19-11', '19-12', '20-12', '20-13', '21-13']",4.0,2.0,1.0,0.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '8-6', '9-6', '10-6', '10-7', '11-7', '11-8', '12-8', '13-8', '13-9', '13-10', '14-10', '14-11', '15-11', '15-12', '16-12', '17-12', '18-12', '19-12', '19-13', '20-13', '21-13']",None,None,None,None,[]
